Id,Label,u,v,w,u+w,Deficient,Central,Dexterity,ReflD,ReflC,ReflX,ReflType
45,#4141,LR3,GGG:OGY:RRY|OLW:ORW:BRY|OLW:BLL:BBY,106,LR3j,L,R,3,R,L,4,RL4
46,#4142,LR3,GGG:OGY:RRY|OLL:ORL:BRY|OLW:BWW:BBY,105,LR3i,L,R,3,R,L,4,RL4
47,#4143,LR3,GGG:OGY:RRY|OWL:ORL:BRY|OWW:BLL:BBY,104,LR3h,L,R,3,R,L,4,RL4
48,#4148,OO0,GGG:OGL:YLL|BWW:OOL:YRR|BBW:BOR:YYR,105,OO0i,O,O,0,O,O,3,OO3
49,#4149,OO2,GGG:OGL:YYL|BWW:OOR:YLL|BBW:BOR:YRR,105,OO2i,O,O,2,O,O,1,OO1
50,#4150,OO0,GGG:OGR:YRR|BLL:OOW:YRW|BBL:BOL:YYW,99,OO0c,O,O,0,O,O,3,OO3
51,#4158,RR7,GGG:OGY:ORY|OLL:ORR:BRY|WWL:BWL:BBY,100,RR7d,R,R,7,L,L,0,LL0
52,#4159,YL4,GGG:OGR:ORR|OWY:OLY:BRY|WWL:BLL:BBY,97,YL4a,Y,L,4,Y,R,3,YR3
53,#4160,LL4,GGG:OGR:ORR|OWY:OLL:BRL|WWY:BLY:BBY,99,LL4c,L,L,4,R,R,3,RR3
54,#4161,RR4,GGG:OGL:OLL|OWY:ORL:BRR|WWY:BRY:BBY,97,RR4a,R,R,4,L,L,3,LL3
55,#4166,LL4,GGG:OGL:OYY|OWR:OLL:BLY|WWR:BRR:BBY,104,LL4h,L,L,4,R,R,3,RR3
56,#4169,BB4,GGG:OGW:OBW|OLL:OBW:BBR|YYL:YRL:YRR,104,BB4h,B,B,4,B,B,3,BB3
57,#4172,LL4,GGG:OGR:ORR|OLL:OLW:BRW|YYY:BLY:BBW,100,LL4d,L,L,4,R,R,3,RR3
58,#4173,WW6,GGG:OGR:ORR|OWY:OWW:BRL|YYY:BLL:BBL,97,WW6a,W,W,6,W,W,0,WW0
59,#4176,WW6,GGG:OGL:OLL|OWY:OWL:BRR|YYY:BWR:BBR,99,WW6c,W,W,6,W,W,0,WW0
60,#4177,RR7,GGG:OGL:OLL|ORY:ORL:BWW|YYY:BRR:BBW,99,RR7c,R,R,7,L,L,0,LL0
61,#4178,RR7,GGG:OGR:OWW|ORY:ORR:BWL|YYY:BLL:BBL,102,RR7f,R,R,7,L,L,0,LL0
62,#4199,BB4,GGG:OGW:OBW|OLR:OBW:BBY|LLR:LRR:YYY,102,BB4f,B,B,4,B,B,3,BB3
63,#4203,WL6,GGG:OGR:ORR|OWW:OLW:BRY|LLY:BLY:BBY,99,WL6c,W,L,6,W,R,1,WR1
64,#4204,RR6,GGG:OGY:WWY|BLL:ORR:OWY|BBL:BRL:ORY,99,RR6c,R,R,6,L,L,1,LL1
65,#4205,LR6,GGG:OGY:WWY|BRR:ORL:OWY|BBR:BLL:OLY,99,LR6c,L,R,6,R,L,1,RL1
66,#4210,LR7,GGG:OGL:YYY|BLL:ORL:ORY|BBW:BWW:ORR,103,LR7g,L,R,7,R,L,0,RL0
67,#4221,LR5,GGG:OGY:YYY|BRR:ORL:OLL|BBR:BWL:OWW,106,LR5j,L,R,5,R,L,2,RL2
68,#4222,LR5,GGG:OGY:YYY|BRR:ORW:OLL|BBR:BLW:OLW,105,LR5i,L,R,5,R,L,2,RL2
69,#4223,LR5,GGG:OGY:YYY|BRR:ORL:OWW|BBR:BLL:OLW,104,LR5h,L,R,5,R,L,2,RL2
70,#4224,WR4,GGG:OGY:YYY|BLL:ORR:OWR|BBL:BWL:OWR,99,WR4c,W,R,4,W,L,3,WL3
71,#4225,WW4,GGG:OGY:YYY|BLL:OWW:OWR|BBL:BRL:ORR,99,WW4c,W,W,4,W,W,2,WW2
72,#4226,RR5,GGG:OGY:YYY|BLL:ORR:OWW|BBL:BRL:ORW,104,RR5h,R,R,5,L,L,2,LL2
73,#4227,YR4,GGG:OGW:YYW|BRR:ORW:OYL|BBR:BLL:OYL,102,YR4f,Y,R,4,Y,L,3,YL3
74,#4228,YR4,GGG:OGR:YYR|BWW:ORR:OYL|BBW:BLL:OYL,97,YR4a,Y,R,4,Y,L,3,YL3
75,#4229,LR6,GGG:OGY:RRY|BWW:ORL:ORY|BBW:BLL:OLY,97,LR6a,L,R,6,R,L,1,RL1
76,#4230,LR7,GGG:OGL:RRY|BLL:ORL:ORY|BBW:BWW:OYY,102,LR7f,L,R,7,R,L,0,RL0
77,#4232,RR0,GGG:RGO:YYY|BLL:RRO:YRO|BBL:BWL:WWO,97,RR0a,R,R,0,L,L,7,LL7
78,#4234,YL4,GGG:RGW:RRW|YYY:RLW:BLL|OOY:BOO:BBL,100,YL4d,Y,L,4,Y,R,3,YR3
79,#4236,OO2,GGG:RGO:RRW|BLL:ROO:YWW|BBL:BOL:YYY,99,OO2c,O,O,2,O,O,1,OO1
80,#4237,OO2,GGG:RGY:RRY|BLL:ROO:OOY|BBL:BWL:WWY,98,OO2b,O,O,2,O,O,1,OO1
81,#4238,OO2,GGG:RGO:RRY|BLL:ROO:WWY|BBL:BOL:WYY,97,OO2a,O,O,2,O,O,1,OO1
82,#4242,BB3,GGG:RGO:RRO|YWO:RBO:BBL|YWW:YLL:YBL,97,BB3a,B,B,3,B,B,4,BB4
83,#4251,OO2,GGG:RGL:RRL|OOY:ROO:BLL|YYY:BWW:BBW,113,OO2q,O,O,2,O,O,1,OO1
84,#4252,OO1,GGG:RGL:RRL|OOY:ROO:BLL|WWY:BWY:BBY,112,OO1p,O,O,1,O,O,2,OO2
85,#4253,WW4,GGG:RGL:RRL|YWO:RWO:BLL|YYY:BWO:BBO,107,WW4k,W,W,4,W,W,2,WW2
86,#4256,BB4,GGG:RGL:RLL|BWW:BBL:RRY|OOW:BOO:YYY,103,BB4g,B,B,4,B,B,3,BB3
87,#4257,OO0,GGG:RGL:RLL|BWW:OOL:RRY|BBW:BOO:YYY,103,OO0g,O,O,0,O,O,3,OO3
88,#4258,OO1,GGG:RGL:RLL|BOO:OOL:RRY|BBW:BWW:YYY,103,OO1g,O,O,1,O,O,2,OO2
89,#4259,BB1,GGG:RGL:RLL|BOO:BBL:RRY|OOW:BWW:YYY,103,BB1g,B,B,1,B,B,6,BB6
90,#4260,OO2,GGG:RGL:RLL|BOO:OOL:RRY|BBY:BWY:WWY,104,OO2h,O,O,2,O,O,1,OO1
91,#4261,BB2,GGG:RGL:RLL|BOO:BBL:RRY|OOY:BWY:WWY,104,BB2h,B,B,2,B,B,5,BB5
