Source,Target,length,Weight,a,b):
196,199,3,3,0,WYO
196,198,2,2,0,WO
196,197,2,2,0,YO
197,217,3,3,0,WLR
197,199,3,3,0,WYO
197,198,3,3,0,WYO
198,219,3,3,0,WLR
198,199,2,2,0,WY
200,223,3,3,70,WGR
200,202,3,3,0,YOL
200,201,3,3,0,YOL
201,206,3,3,0,WYO
201,203,2,2,0,WO
201,202,3,3,0,YOL
202,221,3,3,0,WLR
202,208,3,3,0,WYL
203,207,3,3,0,WYL
203,206,2,2,0,WY
203,205,3,3,0,WYL
203,204,3,3,0,WYL
204,207,3,3,0,WYL
204,206,3,3,0,WYL
204,205,3,3,0,WYL
205,208,3,3,0,WOL
205,207,2,2,0,WL
205,206,2,2,0,WL
206,208,3,3,0,WOL
206,207,2,2,0,WL
207,208,3,3,0,WOL
208,219,3,3,0,YLR
208,218,2,2,0,LR
209,220,3,3,0,WYO
209,215,2,2,0,WY
209,214,3,3,0,WYR
209,211,3,3,0,WOR
210,218,3,3,0,WOR
210,211,3,3,0,YOR
211,224,3,3,0,WYR
211,223,3,3,0,WYR
211,212,3,3,0,WYR
212,224,2,2,0,YR
212,223,3,3,0,WYR
213,223,3,3,0,YOR
213,214,3,3,0,WOR
214,215,3,3,0,WYR
215,220,3,3,0,WYO
216,219,3,3,0,WYO
216,217,3,3,0,WOR
217,222,2,2,0,YO
218,221,3,3,0,WYR
218,220,3,3,0,WYR
218,219,2,2,0,YR
219,222,3,3,0,WOR
219,221,3,3,0,WYR
219,220,3,3,0,WYR
220,221,3,3,0,WYR
223,224,3,3,0,WYR
225,238,3,3,33,WGO
225,233,3,3,4,WOB
225,233,3,3,0,YLR
225,228,3,3,0,WOL
225,227,3,3,2,YGB
225,226,3,3,0,WLR
226,228,3,3,2,YGB
226,227,3,3,0,WOR
227,235,3,3,0,WYO
227,230,2,2,0,WY
227,229,3,3,0,WYO
227,228,3,3,0,WLR
229,235,2,2,0,YO
229,230,2,2,0,WO
230,236,3,3,4,YOB
230,235,3,3,0,WYO
231,236,3,3,68,WGB
231,232,2,2,0,WO
232,234,3,3,80,GOB
233,239,3,3,33,WGO
234,237,2,2,2,YG
234,236,3,3,33,WGO
235,236,3,3,4,WOB
237,239,3,3,0,WYO
238,239,3,3,4,WOB
238,239,3,3,0,YLR
