Source,Target,length,Weight,a,b):
29,115,3,3,4,ORB
29,114,3,3,4,ORB
29,109,3,3,4,YOB
29,86,3,3,0,YLR
29,62,2,2,69,WG
29,32,2,2,0,WO
29,31,3,3,0,WOB
29,30,2,2,0,OB
30,231,3,3,0,YOB
30,132,2,2,69,WG
30,120,3,3,4,YOB
30,115,3,3,4,ORB
30,114,3,3,4,ORB
30,109,3,3,4,YOB
30,87,3,3,0,YLR
30,32,3,3,0,WOB
30,31,2,2,0,WO
31,232,3,3,0,YOB
31,132,3,3,69,WGO
31,119,3,3,4,YOB
31,108,3,3,4,YOB
31,88,3,3,0,YLR
31,32,2,2,0,OB
32,232,2,2,0,YB
32,119,3,3,4,YOB
32,108,3,3,4,YOB
32,89,3,3,0,YLR
32,62,3,3,69,WGO
33,143,2,2,81,GO
33,124,3,3,4,WYB
33,124,3,3,0,OLR
33,93,3,3,0,OLR
33,63,3,3,32,WGL
33,44,3,3,0,WLR
33,40,3,3,0,WYR
33,34,2,2,0,LR
34,144,2,2,81,GO
34,124,3,3,0,OLR
34,93,3,3,4,WYB
34,93,3,3,0,OLR
34,44,2,2,0,WR
35,239,2,2,69,WG
35,233,2,2,81,GO
35,91,3,3,67,YGL
35,49,2,2,0,OB
35,36,3,3,0,YLR
36,238,2,2,69,WG
36,225,2,2,81,GO
36,48,2,2,0,OB
36,39,3,3,0,YLB
36,37,3,3,0,WLR
37,226,2,2,81,GO
37,117,2,2,4,RB
37,50,2,2,0,OB
38,172,3,3,81,YGO
38,149,2,2,81,GO
38,126,3,3,69,WGL
38,111,3,3,4,YLB
38,96,3,3,0,WOR
38,70,2,2,2,YG
38,61,3,3,32,WGR
38,58,3,3,32,WGR
38,43,3,3,0,WLR
38,42,3,3,0,WLR
38,41,3,3,0,WLR
38,40,2,2,0,WL
38,39,2,2,0,WL
39,171,3,3,81,YGO
39,148,2,2,81,GO
39,126,2,2,69,WG
39,112,3,3,4,YLB
39,72,2,2,2,YG
39,64,3,3,2,WYG
39,61,3,3,32,WGR
39,58,3,3,32,WGR
39,43,3,3,0,WLR
39,42,2,2,0,LR
39,41,3,3,0,WLR
39,40,2,2,0,WL
40,170,3,3,81,YGO
40,153,3,3,81,WGO
40,147,2,2,81,GO
40,126,3,3,69,WGL
40,110,3,3,4,YLB
40,71,2,2,2,YG
40,61,3,3,32,WGR
40,58,2,2,32,WG
40,43,3,3,0,WLR
40,42,3,3,0,WLR
40,41,3,3,0,WLR
41,205,3,3,71,YGR
41,197,3,3,1,WGO
41,194,3,3,4,YRB
41,175,3,3,81,YGO
41,152,2,2,81,GO
41,97,3,3,69,WGR
41,95,3,3,0,WOR
41,67,2,2,2,YG
41,61,3,3,32,GLR
41,44,3,3,0,YLR
41,43,2,2,0,WR
41,42,2,2,0,WR
42,206,3,3,71,YGR
42,195,3,3,4,YRB
42,174,3,3,81,YGO
42,151,2,2,81,GO
42,97,2,2,69,WG
42,95,3,3,0,WOR
42,69,2,2,2,YG
42,65,3,3,2,WYG
42,43,2,2,0,WR
43,207,3,3,71,YGR
43,193,3,3,4,YRB
43,173,3,3,81,YGO
43,150,2,2,81,GO
43,97,3,3,69,WGR
43,95,3,3,0,WOR
43,68,2,2,2,YG
44,192,2,2,81,GO
44,160,3,3,1,WGO
44,63,3,3,32,WGR
44,47,3,3,0,WYL
44,46,3,3,0,WYL
44,45,3,3,0,WYL
45,194,2,2,81,GO
45,152,3,3,4,YLB
45,102,3,3,22,YGR
45,98,3,3,87,WYG
45,97,3,3,32,GOR
45,96,3,3,85,WGL
45,95,2,2,85,WG
45,47,2,2,0,WL
45,46,2,2,0,WL
46,193,2,2,81,GO
46,191,3,3,23,WYG
46,150,3,3,4,YLB
46,95,3,3,85,WGR
46,47,2,2,0,WL
47,195,2,2,81,GO
47,151,3,3,4,YLB
47,95,3,3,85,WGR
48,225,3,3,81,GOB
48,135,2,2,69,WG
48,87,3,3,0,YOR
48,81,3,3,4,WLB
48,50,3,3,0,WLR
48,49,3,3,0,YLR
49,233,3,3,81,GOB
49,136,2,2,69,WG
49,90,3,3,67,YGL
50,226,3,3,81,GOB
50,117,3,3,4,ORB
52,188,3,3,71,YGL
52,63,3,3,0,WYL
52,58,3,3,0,WYL
52,57,3,3,0,WYL
52,55,3,3,0,YLR
52,54,3,3,0,YLR
52,53,2,2,0,YL
53,183,3,3,4,LRB
53,178,3,3,4,LRB
53,82,3,3,4,LRB
53,63,3,3,0,WYL
53,58,3,3,0,WYL
53,57,3,3,0,WYL
53,55,3,3,0,YLR
53,54,2,2,0,LR
54,183,3,3,4,LRB
54,178,3,3,4,LRB
54,82,2,2,4,LB
54,60,3,3,0,WYR
54,59,3,3,0,WYR
54,55,3,3,0,YLR
55,187,3,3,71,YGR
55,186,3,3,71,YGR
55,162,3,3,0,YOB
55,101,3,3,54,YGL
56,139,2,2,0,OB
56,89,3,3,54,WGO
56,86,2,2,54,WG
56,62,3,3,0,YLR
57,101,3,3,0,YOL
57,63,3,3,0,WYL
57,58,3,3,0,WYL
58,184,3,3,4,LRB
58,180,3,3,81,YGO
58,153,3,3,50,WGO
58,147,3,3,50,WGO
58,126,3,3,22,WGL
58,121,3,3,4,YRB
58,71,3,3,33,WYG
58,63,3,3,0,WYL
58,61,2,2,0,WR
58,60,3,3,0,WLR
58,59,3,3,0,WLR
59,220,3,3,1,WYG
59,184,3,3,81,YGO
59,180,3,3,4,LRB
59,118,3,3,18,WGO
59,85,3,3,4,OLB
59,61,3,3,0,WLR
59,60,2,2,0,WR
60,185,3,3,81,YGO
60,61,3,3,0,WLR
61,216,3,3,34,WGO
61,165,3,3,81,YGO
61,126,3,3,22,WGL
61,125,3,3,4,YRB
62,236,3,3,4,WYB
62,235,3,3,0,YOB
62,229,3,3,0,YOB
62,169,3,3,4,WYB
62,132,2,2,0,OB
62,105,3,3,0,OLB
62,104,3,3,0,OLB
63,94,3,3,0,WOR
64,203,3,3,69,GLR
64,176,3,3,48,WGO
64,126,3,3,71,WYG
64,80,3,3,0,WOR
64,75,3,3,0,WLR
64,72,2,2,0,WY
64,71,3,3,0,WYR
64,70,3,3,0,WYR
64,65,2,2,0,LR
65,203,2,2,69,GR
65,182,3,3,48,WGO
65,138,3,3,69,WGR
65,97,3,3,71,WYG
65,75,2,2,0,WR
65,73,3,3,0,WYL
65,69,2,2,0,WY
65,68,3,3,0,WYL
65,67,3,3,0,WYL
66,76,2,2,0,YR
67,205,2,2,69,GR
67,199,3,3,3,WGO
67,175,3,3,83,YGO
67,152,3,3,83,YGO
67,98,3,3,0,WOL
67,73,3,3,0,WYL
67,72,3,3,0,WLR
67,71,3,3,0,WLR
67,70,3,3,0,WLR
67,69,2,2,0,WL
67,68,2,2,0,WL
68,207,2,2,69,GR
68,173,3,3,83,YGO
68,150,3,3,83,YGO
68,98,3,3,0,WOL
68,73,3,3,0,WYL
68,72,3,3,0,WLR
68,71,3,3,0,WLR
68,70,3,3,0,WLR
68,69,2,2,0,WL
69,206,2,2,69,GR
69,174,3,3,83,YGO
69,151,3,3,83,YGO
69,98,3,3,0,WOL
69,97,3,3,71,WYG
69,75,3,3,0,WYR
69,73,3,3,0,WYL
69,72,2,2,0,LR
69,71,3,3,0,WLR
69,70,3,3,0,WLR
70,172,3,3,83,YGO
70,149,3,3,83,YGO
70,99,3,3,0,WOL
70,72,2,2,0,WR
70,71,2,2,0,WR
71,170,3,3,83,YGO
71,147,3,3,83,YGO
71,72,2,2,0,WR
72,206,3,3,69,GLR
72,171,3,3,83,YGO
72,148,3,3,83,YGO
72,126,3,3,71,WYG
73,204,2,2,69,GR
73,137,3,3,69,WGR
73,100,2,2,52,WG
73,74,2,2,0,WR
74,204,3,3,69,WGR
74,137,2,2,69,WG
74,100,3,3,52,WGL
74,75,3,3,0,YLR
75,203,3,3,69,WGR
75,138,2,2,69,WG
75,76,3,3,0,WYL
77,228,3,3,0,WRB
77,211,3,3,3,WGO
77,131,3,3,0,WLR
77,127,3,3,0,OLR
77,80,3,3,0,YOR
78,221,3,3,71,WGR
78,190,3,3,50,WGL
78,140,3,3,0,ORB
78,102,2,2,54,WG
78,101,3,3,0,WLR
78,95,3,3,0,WYR
79,81,2,2,0,WY
79,80,3,3,0,WYO
80,210,3,3,3,WYG
80,81,3,3,0,WYO
82,183,2,2,0,RB
82,178,3,3,0,LRB
83,209,3,3,4,LRB
83,90,3,3,4,WYB
83,88,3,3,4,WYB
83,85,3,3,0,WYO
83,84,2,2,0,WY
84,215,3,3,4,LRB
84,210,3,3,0,WRB
84,90,3,3,4,WYB
84,88,3,3,4,WYB
84,85,3,3,0,WYO
85,220,3,3,4,LRB
85,211,3,3,0,WRB
85,180,3,3,1,WYG
86,91,3,3,0,WYO
86,89,2,2,0,WO
86,88,3,3,0,WOB
86,87,2,2,0,OB
87,139,2,2,69,WG
87,90,3,3,0,WYO
87,89,3,3,0,WOB
87,88,2,2,0,WO
88,139,3,3,69,WGO
88,90,2,2,0,WY
88,89,2,2,0,OB
89,91,2,2,0,WY
90,91,2,2,0,OB
92,158,3,3,0,WRB
92,154,3,3,4,WYB
92,146,3,3,4,WYB
92,141,3,3,71,WYG
92,99,3,3,2,WYG
92,96,2,2,0,WY
92,95,3,3,0,WYL
92,94,3,3,0,YOL
92,93,3,3,0,YOL
93,149,3,3,0,WRB
93,124,2,2,0,LR
93,112,3,3,0,WLR
93,111,3,3,0,WLR
93,110,3,3,0,WLR
93,97,3,3,0,WYO
93,94,2,2,0,YO
94,172,3,3,0,WRB
94,161,3,3,34,WGO
94,125,2,2,0,LR
94,123,3,3,0,WLR
94,122,3,3,0,WLR
94,121,3,3,0,WLR
94,97,3,3,0,WYO
95,208,3,3,71,YGR
95,197,3,3,4,YRB
95,194,3,3,1,WGO
95,191,3,3,50,YGL
95,98,2,2,2,YG
95,96,2,2,0,WL
96,189,3,3,50,YGL
96,154,3,3,4,WYB
96,146,3,3,4,WYB
96,141,3,3,71,WYG
96,99,2,2,2,YG
97,194,3,3,50,GOL
97,151,3,3,34,WGO
97,126,2,2,0,LR
98,218,3,3,69,GLR
98,208,2,2,69,GR
98,191,3,3,48,YGL
98,141,3,3,69,WGR
98,99,2,2,0,WR
99,208,3,3,69,WGR
99,189,3,3,48,YGL
99,141,2,2,69,WG
100,204,3,3,50,WGR
100,186,3,3,34,GLR
100,137,2,2,50,GR
100,101,3,3,22,GLR
