Source,Target,length,a,b):
14,16,3,0,
14,15,2,0,
15,234,2,4,
15,232,3,84,
15,184,3,32,
15,119,3,85,
15,108,2,85,
15,43,3,4,
15,23,2,2,
15,18,3,0,
15,17,3,0,
15,16,3,0,
16,158,3,81,
16,147,3,0,
16,121,3,85,
16,121,3,69,
16,110,2,85,
16,106,3,69,
16,59,3,0,
16,27,2,0,
16,25,2,2,
16,18,2,0,
16,17,2,0,
17,158,3,81,
17,148,3,0,
17,129,3,33,
17,123,3,85,
17,112,2,85,
17,27,3,0,
17,24,2,2,
17,18,2,0,
18,158,3,81,
18,149,3,0,
18,122,3,85,
18,111,2,85,
18,93,3,0,
18,27,3,0,
18,26,2,2,
19,174,3,69,
19,161,3,69,
19,133,2,69,
19,94,3,87,
19,93,3,87,
19,70,3,4,
19,26,3,0,
19,25,3,0,
19,24,3,0,
19,20,2,0,
20,171,3,69,
20,159,3,69,
20,134,2,69,
20,125,3,87,
20,124,3,87,
20,113,3,0,
20,28,3,0,
20,26,3,0,
20,25,2,0,
20,24,3,0,
21,237,3,4,
21,227,3,35,
21,120,3,87,
21,109,3,87,
21,26,3,0,
21,25,3,0,
21,24,2,0,
21,23,2,0,
21,22,2,0,
22,237,3,4,
22,184,3,34,
22,118,3,87,
22,107,3,87,
22,71,3,4,
22,26,3,0,
22,25,3,0,
22,24,3,0,
22,23,2,0,
23,237,2,4,
23,119,3,87,
23,108,3,87,
23,68,3,4,
23,26,3,0,
23,25,3,0,
23,24,3,0,
24,211,3,32,
24,131,3,35,
24,131,3,0,
24,123,3,87,
24,112,3,87,
24,77,3,0,
24,28,3,0,
24,26,2,0,
24,25,2,0,
25,134,3,69,
25,121,3,87,
25,110,3,87,
25,77,3,0,
25,28,2,0,
25,26,2,0,
26,224,3,3,
26,122,3,87,
26,111,3,87,
26,77,3,0,
26,28,3,0,
27,153,3,0,
27,121,3,69,
27,116,3,69,
27,110,3,85,
27,106,2,69,
27,39,3,0,
27,28,2,2,
28,116,3,71,
28,113,3,0,
28,106,3,71,
28,81,3,0,
28,79,3,0,
28,72,3,0,
29,231,2,0,
29,120,3,4,
29,115,3,4,
29,114,3,4,
29,109,3,4,
29,86,3,0,
29,62,2,69,
29,32,2,0,
29,31,3,0,
29,30,2,0,
30,231,3,0,
30,132,2,69,
30,120,3,4,
30,115,3,4,
30,114,3,4,
30,109,3,4,
30,87,3,0,
30,32,3,0,
30,31,2,0,
31,232,3,0,
31,132,3,69,
31,119,3,4,
31,108,3,4,
31,88,3,0,
31,32,2,0,
32,232,2,0,
32,119,3,4,
32,108,3,4,
32,89,3,0,
32,62,3,69,
33,143,2,81,
33,124,3,4,
33,124,3,0,
33,93,3,0,
33,63,3,32,
33,44,3,0,
33,40,3,0,
33,34,2,0,
34,144,2,81,
34,124,3,0,
34,93,3,4,
34,93,3,0,
34,44,2,0,
35,239,2,69,
35,233,2,81,
35,91,3,67,
35,49,2,0,
35,36,3,0,
36,238,2,69,
36,225,2,81,
36,48,2,0,
36,39,3,0,
36,37,3,0,
37,226,2,81,
37,117,2,4,
37,50,2,0,
38,172,3,81,
38,149,2,81,
38,126,3,69,
38,111,3,4,
38,96,3,0,
38,70,2,2,
38,61,3,32,
38,58,3,32,
38,43,3,0,
38,42,3,0,
38,41,3,0,
38,40,2,0,
38,39,2,0,
39,171,3,81,
39,148,2,81,
39,126,2,69,
39,112,3,4,
39,72,2,2,
39,64,3,2,
39,61,3,32,
39,58,3,32,
39,43,3,0,
39,42,2,0,
39,41,3,0,
39,40,2,0,
40,170,3,81,
40,153,3,81,
40,147,2,81,
40,126,3,69,
40,110,3,4,
40,71,2,2,
40,61,3,32,
40,58,2,32,
40,43,3,0,
40,42,3,0,
40,41,3,0,
41,205,3,71,
41,197,3,1,
41,194,3,4,
41,175,3,81,
41,152,2,81,
41,97,3,69,
41,95,3,0,
41,67,2,2,
41,61,3,32,
41,44,3,0,
41,43,2,0,
41,42,2,0,
42,206,3,71,
42,195,3,4,
42,174,3,81,
42,151,2,81,
42,97,2,69,
42,95,3,0,
42,69,2,2,
42,65,3,2,
42,43,2,0,
43,207,3,71,
43,193,3,4,
43,173,3,81,
43,150,2,81,
43,97,3,69,
43,95,3,0,
43,68,2,2,
44,192,2,81,
44,160,3,1,
44,63,3,32,
44,47,3,0,
44,46,3,0,
44,45,3,0,
45,194,2,81,
45,152,3,4,
45,102,3,22,
45,98,3,87,
45,97,3,32,
45,96,3,85,
45,95,2,85,
45,47,2,0,
45,46,2,0,
46,193,2,81,
46,191,3,23,
46,150,3,4,
46,95,3,85,
46,47,2,0,
47,195,2,81,
47,151,3,4,
47,95,3,85,
48,225,3,81,
48,135,2,69,
48,87,3,0,
48,81,3,4,
48,50,3,0,
48,49,3,0,
49,233,3,81,
49,136,2,69,
49,90,3,67,
50,226,3,81,
50,117,3,4,
52,188,3,71,
52,63,3,0,
52,58,3,0,
52,57,3,0,
52,55,3,0,
52,54,3,0,
52,53,2,0,
53,183,3,4,
53,178,3,4,
53,82,3,4,
53,63,3,0,
53,58,3,0,
53,57,3,0,
53,55,3,0,
53,54,2,0,
54,183,3,4,
54,178,3,4,
54,82,2,4,
54,60,3,0,
54,59,3,0,
54,55,3,0,
55,187,3,71,
55,186,3,71,
55,162,3,0,
55,101,3,54,
56,139,2,0,
56,89,3,54,
56,86,2,54,
56,62,3,0,
57,101,3,0,
57,63,3,0,
57,58,3,0,
58,184,3,4,
58,180,3,81,
58,153,3,50,
58,147,3,50,
58,126,3,22,
58,121,3,4,
58,71,3,33,
58,63,3,0,
58,61,2,0,
58,60,3,0,
58,59,3,0,
59,220,3,1,
59,184,3,81,
59,180,3,4,
59,118,3,18,
59,85,3,4,
59,61,3,0,
59,60,2,0,
60,185,3,81,
60,61,3,0,
61,216,3,34,
61,165,3,81,
61,126,3,22,
61,125,3,4,
62,236,3,4,
62,235,3,0,
62,229,3,0,
62,169,3,4,
62,132,2,0,
62,105,3,0,
62,104,3,0,
63,94,3,0,
64,203,3,69,
64,176,3,48,
64,126,3,71,
64,80,3,0,
64,75,3,0,
64,72,2,0,
64,71,3,0,
64,70,3,0,
64,65,2,0,
65,203,2,69,
65,182,3,48,
65,138,3,69,
65,97,3,71,
65,75,2,0,
65,73,3,0,
65,69,2,0,
65,68,3,0,
65,67,3,0,
66,76,2,0,
67,205,2,69,
67,199,3,3,
67,175,3,83,
67,152,3,83,
67,98,3,0,
67,73,3,0,
67,72,3,0,
67,71,3,0,
67,70,3,0,
67,69,2,0,
67,68,2,0,
68,207,2,69,
68,173,3,83,
68,150,3,83,
68,98,3,0,
68,73,3,0,
68,72,3,0,
68,71,3,0,
68,70,3,0,
68,69,2,0,
69,206,2,69,
69,174,3,83,
69,151,3,83,
69,98,3,0,
69,97,3,71,
69,75,3,0,
69,73,3,0,
69,72,2,0,
69,71,3,0,
69,70,3,0,
70,172,3,83,
70,149,3,83,
70,99,3,0,
70,72,2,0,
70,71,2,0,
71,170,3,83,
71,147,3,83,
71,72,2,0,
72,206,3,69,
72,171,3,83,
72,148,3,83,
72,126,3,71,
73,204,2,69,
73,137,3,69,
73,100,2,52,
73,74,2,0,
74,204,3,69,
74,137,2,69,
74,100,3,52,
74,75,3,0,
75,203,3,69,
75,138,2,69,
75,76,3,0,
77,228,3,0,
77,211,3,3,
77,131,3,0,
77,127,3,0,
77,80,3,0,
78,221,3,71,
78,190,3,50,
78,140,3,0,
78,102,2,54,
78,101,3,0,
78,95,3,0,
79,81,2,0,
79,80,3,0,
80,210,3,3,
80,81,3,0,
82,183,2,0,
82,178,3,0,
83,209,3,4,
83,90,3,4,
83,88,3,4,
83,85,3,0,
83,84,2,0,
84,215,3,4,
84,210,3,0,
84,90,3,4,
84,88,3,4,
84,85,3,0,
85,220,3,4,
85,211,3,0,
85,180,3,1,
86,91,3,0,
86,89,2,0,
86,88,3,0,
86,87,2,0,
87,139,2,69,
87,90,3,0,
87,89,3,0,
87,88,2,0,
88,139,3,69,
88,90,2,0,
88,89,2,0,
89,91,2,0,
90,91,2,0,
92,158,3,0,
92,154,3,4,
92,146,3,4,
92,141,3,71,
92,99,3,2,
92,96,2,0,
92,95,3,0,
92,94,3,0,
92,93,3,0,
93,149,3,0,
93,124,2,0,
93,112,3,0,
93,111,3,0,
93,110,3,0,
93,97,3,0,
93,94,2,0,
94,172,3,0,
94,161,3,34,
94,125,2,0,
94,123,3,0,
94,122,3,0,
94,121,3,0,
94,97,3,0,
95,208,3,71,
95,197,3,4,
95,194,3,1,
95,191,3,50,
95,98,2,2,
95,96,2,0,
96,189,3,50,
96,154,3,4,
96,146,3,4,
96,141,3,71,
96,99,2,2,
97,194,3,50,
97,151,3,34,
97,126,2,0,
98,218,3,69,
98,208,2,69,
98,191,3,48,
98,141,3,69,
98,99,2,0,
99,208,3,69,
99,189,3,48,
99,141,2,69,
100,204,3,50,
100,186,3,34,
100,137,2,50,
100,101,3,22,
100,101,3,0,
101,187,3,50,
101,186,2,50,
101,137,3,34,
102,221,2,50,
102,190,3,1,
102,103,3,0,
103,179,2,48,
103,140,2,69,
104,132,3,0,
104,114,2,52,
104,105,2,0,
105,132,3,0,
105,129,3,0,
105,128,3,0,
105,115,2,52,
106,126,3,0,
106,125,3,0,
106,123,3,0,
106,122,3,0,
106,121,2,0,
106,116,2,0,
106,110,3,32,
106,110,3,0,
107,235,3,65,
107,232,3,4,
107,231,3,4,
107,184,3,69,
107,147,3,0,
107,142,3,69,
107,118,2,0,
107,117,3,0,
107,113,2,0,
107,112,3,0,
107,111,3,0,
107,110,3,0,
107,109,2,0,
107,108,2,0,
108,235,3,65,
108,234,3,84,
108,232,2,4,
108,231,3,4,
108,150,3,0,
108,119,2,0,
108,113,3,0,
108,112,3,0,
108,111,3,0,
108,110,3,0,
108,109,2,0,
109,235,2,65,
109,232,3,4,
109,231,2,4,
109,120,2,0,
109,113,3,0,
109,112,2,0,
109,111,3,0,
109,110,3,0,
110,129,3,65,
110,128,3,18,
110,125,3,32,
110,124,2,0,
110,123,3,32,
110,122,3,32,
110,121,2,32,
110,121,2,0,
110,116,3,0,
110,112,2,0,
110,111,2,0,
111,129,3,65,
111,125,3,32,
111,124,3,0,
111,122,2,0,
111,121,3,32,
111,112,2,0,
112,231,3,4,
112,129,2,65,
112,125,3,32,
112,124,3,0,
112,123,2,0,
112,121,3,32,
112,115,3,0,
113,232,3,4,
113,231,3,4,
113,184,3,69,
113,153,3,0,
113,142,2,69,
113,118,3,0,
114,157,2,0,
114,115,2,0,
115,213,3,0,
115,157,3,0,
115,123,3,0,
115,116,3,0,
116,214,3,0,
116,121,3,0,
117,127,2,85,
118,229,3,65,
118,170,3,0,
118,123,3,0,
118,122,3,0,
118,121,3,0,
118,120,2,0,
118,119,2,0,
119,232,3,4,
119,229,3,65,
119,173,3,0,
119,123,3,0,
119,122,3,0,
119,121,3,0,
119,120,2,0,
120,231,3,4,
120,230,3,65,
120,229,2,65,
120,123,2,0,
120,122,3,0,
120,121,3,0,
121,129,3,18,
121,128,3,65,
121,125,2,0,
121,124,3,32,
121,123,2,0,
121,122,2,0,
122,212,3,81,
122,128,3,65,
122,125,3,0,
122,124,3,32,
122,123,2,0,
123,130,3,65,
123,128,2,65,
123,125,3,0,
123,124,3,32,
124,128,3,18,
124,126,3,0,
124,125,2,0,
125,159,3,34,
125,129,3,18,
125,126,3,0,
126,238,3,0,
126,155,3,23,
126,148,3,34,
126,129,3,0,
127,226,2,0,
127,185,3,32,
127,131,3,0,
128,229,2,0,
128,131,3,0,
128,130,2,0,
128,129,2,0,
129,235,2,0,
129,131,3,0,
129,130,3,0,
130,230,2,0,
130,212,3,32,
130,131,2,0,
131,227,2,0,
131,224,3,32,
131,211,3,32,
132,235,3,0,
132,229,3,0,
132,139,3,0,
133,175,3,0,
133,174,2,0,
133,173,3,0,
133,161,2,0,
133,151,3,0,
133,134,2,0,
134,172,3,0,
134,171,2,0,
134,170,3,0,
134,159,2,0,
134,148,3,0,
134,142,3,0,
135,239,3,4,
135,238,2,0,
135,214,3,0,
135,139,3,0,
135,136,3,4,
135,136,3,0,
136,239,2,0,
136,238,3,4,
137,204,2,0,
137,186,3,80,
137,186,3,0,
137,138,3,0,
138,206,3,0,
138,203,2,0,
138,201,3,0,
140,179,3,70,
141,218,3,0,
141,208,2,0,
142,209,3,80,
142,209,3,0,
142,185,3,0,
142,184,2,0,
143,192,3,0,
143,147,3,0,
143,144,2,0,
144,192,2,0,
144,160,3,80,
144,146,3,0,
144,145,3,0,
145,222,2,0,
145,198,3,0,
145,196,2,0,
145,188,3,0,
145,175,3,80,
145,154,3,0,
145,146,2,0,
146,217,2,0,
146,197,2,0,
146,188,3,0,
146,154,2,0,
146,152,3,80,
147,217,3,80,
147,170,2,0,
147,153,2,0,
147,152,3,0,
147,151,3,0,
147,150,3,0,
147,149,2,0,
147,148,2,0,
148,225,3,0,
148,217,3,80,
148,171,2,0,
148,159,3,0,
148,153,3,0,
148,152,3,0,
148,151,2,0,
148,150,3,0,
148,149,2,0,
149,217,3,80,
149,172,2,0,
149,158,3,0,
149,153,3,0,
149,152,3,0,
149,151,3,0,
149,150,3,0,
150,197,3,80,
150,173,2,0,
150,152,2,0,
150,151,2,0,
151,197,3,80,
151,174,2,0,
151,161,3,0,
151,152,2,0,
152,197,2,80,
152,192,3,0,
152,175,2,0,
152,160,3,0,
153,204,3,0,
153,170,3,0,
154,217,3,0,
154,197,3,0,
154,188,3,0,
155,219,3,0,
155,218,3,0,
155,208,3,0,
155,166,3,51,
155,162,2,0,
155,156,2,0,
156,219,3,0,
156,218,3,0,
156,208,3,0,
156,168,3,51,
156,162,3,0,
156,158,3,0,
157,213,3,0,
158,217,3,4,
158,172,3,0,
158,159,3,0,
159,216,3,4,
159,171,3,0,
159,161,2,0,
160,197,3,0,
160,192,2,80,
160,175,3,0,
160,161,3,0,
161,174,3,0,
162,219,3,0,
162,218,3,0,
162,208,3,0,
162,167,3,51,
163,218,3,70,
163,200,3,0,
163,180,3,0,
163,176,3,0,
163,168,3,0,
163,167,3,0,
163,166,3,0,
163,165,2,0,
163,164,2,0,
164,208,3,70,
164,201,3,0,
164,168,3,0,
164,167,3,0,
164,166,3,0,
164,165,3,0,
165,219,3,70,
165,200,3,0,
165,185,3,0,
165,184,3,0,
165,180,2,0,
165,176,3,0,
165,168,3,0,
165,167,3,0,
165,166,3,0,
166,181,3,0,
166,177,2,0,
166,171,3,0,
166,169,3,0,
166,168,2,0,
166,167,2,0,
167,183,3,0,
167,178,2,0,
167,169,3,0,
167,168,3,0,
168,181,2,0,
168,177,3,0,
168,173,3,0,
169,236,2,0,
169,235,3,4,
169,231,3,50,
170,222,3,80,
170,184,3,0,
170,180,3,22,
170,180,3,0,
170,175,3,0,
170,174,3,0,
170,173,3,0,
170,172,2,0,
170,171,2,0,
171,222,3,80,
171,184,3,0,
171,177,3,0,
171,175,3,0,
171,174,2,0,
171,173,3,0,
171,172,2,0,
172,222,3,80,
172,184,3,0,
172,175,3,0,
172,174,3,0,
172,173,3,0,
173,196,3,80,
173,181,3,0,
173,175,2,0,
173,174,2,0,
174,196,3,80,
174,175,2,0,
175,198,3,80,
175,196,2,80,
176,182,2,0,
176,180,3,0,
177,219,3,4,
177,183,3,0,
177,181,3,0,
177,180,3,0,
177,179,3,0,
177,178,2,0,
178,218,3,4,
178,183,2,0,
178,180,3,0,
178,179,3,0,
179,221,3,4,
179,180,3,0,
180,220,3,4,
180,185,3,0,
180,184,3,0,
182,223,3,0,
182,201,3,51,
182,190,3,0,
183,185,3,0,
183,184,3,0,
184,185,2,0,
185,211,3,0,
186,190,3,0,
186,188,3,0,
186,187,2,0,
187,188,3,0,
188,191,3,0,
188,189,3,0,
189,191,2,0,
190,223,3,0,
190,202,3,51,
190,191,3,0,
192,197,3,0,
192,196,3,0,
192,195,3,0,
192,194,3,0,
192,193,3,0,
193,216,3,0,
193,205,3,0,
193,197,3,0,
193,195,2,0,
193,194,2,0,
194,206,3,0,
194,198,3,0,
194,197,3,0,
194,195,2,0,
195,207,3,0,
195,197,3,0,
196,222,3,0,
196,199,3,0,
196,198,2,0,
196,197,2,0,
197,217,3,0,
197,199,3,0,
197,198,3,0,
198,219,3,0,
198,199,2,0,
200,223,3,70,
200,202,3,0,
200,201,3,0,
201,206,3,0,
201,203,2,0,
201,202,3,0,
202,221,3,0,
202,208,3,0,
203,207,3,0,
203,206,2,0,
203,205,3,0,
203,204,3,0,
204,207,3,0,
204,206,3,0,
204,205,3,0,
205,208,3,0,
205,207,2,0,
205,206,2,0,
206,208,3,0,
206,207,2,0,
207,208,3,0,
208,219,3,0,
208,218,2,0,
209,220,3,0,
209,215,2,0,
209,214,3,0,
209,211,3,0,
210,218,3,0,
210,211,3,0,
211,224,3,0,
211,223,3,0,
211,212,3,0,
212,224,2,0,
212,223,3,0,
213,223,3,0,
213,214,3,0,
214,215,3,0,
215,220,3,0,
216,219,3,0,
216,217,3,0,
217,222,2,0,
218,221,3,0,
218,220,3,0,
218,219,2,0,
219,222,3,0,
219,221,3,0,
219,220,3,0,
220,221,3,0,
223,224,3,0,
225,238,3,33,
225,233,3,4,
225,233,3,0,
225,228,3,0,
225,227,3,2,
225,226,3,0,
226,228,3,2,
226,227,3,0,
227,235,3,0,
227,230,2,0,
227,229,3,0,
227,228,3,0,
229,235,2,0,
229,230,2,0,
230,236,3,4,
230,235,3,0,
231,236,3,68,
231,232,2,0,
232,234,3,80,
233,239,3,33,
234,237,2,2,
234,236,3,33,
235,236,3,4,
237,239,3,0,
238,239,3,4,
238,239,3,0,
