Source,Target,length,a,b):
0,153,2,50,
0,147,3,50,
0,142,3,4,
0,106,3,4,
0,83,3,85,
0,83,3,0,
0,61,3,0,
0,58,2,0,
0,40,3,32,
0,2,3,0,
1,236,2,0,
1,235,2,4,
1,232,3,50,
1,231,2,50,
1,229,3,4,
1,169,2,0,
1,132,3,4,
1,129,3,4,
1,62,2,4,
2,204,2,50,
2,137,3,50,
2,100,2,0,
2,74,2,65,
2,73,3,65,
3,157,2,48,
3,105,3,4,
3,104,2,4,
3,10,3,0,
4,202,2,69,
4,190,2,48,
4,102,3,52,
4,98,3,0,
4,78,3,2,
4,46,3,87,
4,9,3,0,
4,6,3,0,
5,201,3,69,
5,176,2,48,
5,80,3,0,
5,72,3,0,
5,64,2,0,
5,6,2,0,
6,201,2,69,
6,182,2,48,
6,75,3,0,
6,69,3,0,
6,65,2,0,
6,9,3,0,
7,207,2,48,
7,206,3,48,
7,205,3,48,
7,164,3,69,
7,68,3,67,
7,8,3,0,
8,195,2,48,
8,194,3,48,
8,193,3,48,
8,160,3,32,
8,152,3,32,
8,97,3,4,
8,47,3,34,
8,41,3,52,
9,223,2,48,
9,200,2,69,
9,10,3,0,
10,213,2,48,
10,105,3,4,
11,159,3,71,
11,143,3,0,
11,134,3,71,
11,125,3,85,
11,124,2,85,
11,60,3,0,
11,27,3,0,
11,20,2,2,
11,18,3,0,
11,17,3,0,
11,16,2,0,
11,12,2,0,
12,161,3,71,
12,144,3,0,
12,133,3,71,
12,111,3,0,
12,94,3,85,
12,93,2,85,
12,38,3,4,
12,19,2,2,
12,18,3,0,
12,17,3,0,
12,16,3,0,
13,235,3,33,
13,234,3,4,
13,231,3,84,
13,184,3,32,
13,120,3,85,
13,109,2,85,
13,21,2,2,
13,18,3,0,
13,17,2,0,
13,16,3,0,
13,15,2,0,
13,14,2,0,
14,234,3,4,
14,185,3,32,
14,184,2,32,
14,142,3,32,
14,127,3,0,
14,118,3,85,
14,113,3,85,
14,107,2,85,
14,40,3,4,
14,22,2,2,
14,18,3,0,
14,17,3,0,
