Source,Target,length,a,b):
194,195,2,0,WL
196,198,2,0,WO
196,197,2,0,YO
198,199,2,0,WY
201,203,2,0,WO
203,206,2,0,WY
205,207,2,0,WL
205,206,2,0,WL
206,207,2,0,WL
208,218,2,0,LR
209,215,2,0,WY
212,224,2,0,YR
217,222,2,0,YO
218,219,2,0,YR
227,230,2,0,WY
229,235,2,0,YO
229,230,2,0,WO
231,232,2,0,WO
234,237,2,2,YG
